,query,symbol
754,ENSG00000205078,SYCE1L
755,ENSG00000205542,TMSB4X
756,ENSG00000205744,DENND1C
757,ENSG00000206190,ATP10A
758,ENSG00000206503,HLA-A
759,ENSG00000206530,CFAP44
760,ENSG00000211445,GPX3
761,ENSG00000213145,CRIP1
762,ENSG00000213398,LCAT
763,ENSG00000214413,BBIP1
764,ENSG00000214530,STARD10
765,ENSG00000214548,MEG3
766,ENSG00000221869,CEBPD
767,ENSG00000224389,C4B
768,ENSG00000227507,LTB
769,ENSG00000229117,RPL41
770,ENSG00000230937,MIR205HG
771,ENSG00000231389,HLA-DPA1
772,ENSG00000231925,TAPBP
773,ENSG00000232931,LINC00342
774,ENSG00000234745,HLA-B
775,ENSG00000235169,SMIM1
776,ENSG00000236609,ZNF853
777,ENSG00000237541,HLA-DQA2
778,ENSG00000240583,AQP1
779,ENSG00000241878,PISD
780,ENSG00000243649,CFB
781,ENSG00000244242,IFITM10
782,ENSG00000244405,ETV5
783,ENSG00000244486,SCARF2
784,ENSG00000244731,C4A
785,ENSG00000245532,NEAT1
786,ENSG00000246705,H2AJ
787,ENSG00000247516,MIR4458HG
788,ENSG00000251562,MALAT1
789,ENSG00000254709,IGLL5
790,ENSG00000254772,EEF1G
791,ENSG00000255823,
792,ENSG00000256045,
793,ENSG00000256222,
794,ENSG00000256618,
795,ENSG00000257704,INAFM1
796,ENSG00000259929,
797,ENSG00000260260,SNHG19
798,ENSG00000261512,
799,ENSG00000264920,
800,ENSG00000266402,SNHG25
801,ENSG00000267795,SMIM22
802,ENSG00000269028,
803,ENSG00000269936,
804,ENSG00000270188,
805,ENSG00000270672,
806,ENSG00000271503,CCL5
807,ENSG00000271869,DCTN6-DT
808,ENSG00000272079,
809,ENSG00000272196,
810,ENSG00000272335,
811,ENSG00000272398,CD24
812,ENSG00000272523,LINC01023
813,ENSG00000275023,MLLT6
814,ENSG00000275395,FCGBP
815,ENSG00000277654,NOP35P1
816,ENSG00000277791,PSMB3
817,ENSG00000277972,CISD3
818,ENSG00000279576,
819,ENSG00000281181,
820,ENSG00000281383,
821,__ambiguous[ENSG00000075914+ENSG00000163815],
822,__ambiguous[ENSG00000109625+ENSG00000155269],
823,__ambiguous[ENSG00000127540+ENSG00000267059],
824,__ambiguous[ENSG00000151366+ENSG00000151364+ENSG00000259112],
825,__ambiguous[ENSG00000171570+ENSG00000269858],
826,__ambiguous[ENSG00000176340+ENSG00000256100],
827,__ambiguous[ENSG00000185885+ENSG00000185201],
